image_id,psnr,theta_psnr,ssim_percent,compression_ratio,roi_percentage,iou
2010_003127,14.991955378347557,16.880138467329395,10.423272848129272,1.5006898236226904,0.0278472900390625,0.0
2010_002336,10.726763307304058,4.8367896563371495,16.198718547821045,1.500303329759511,13.939285278320312,0.0
2007_000068,10.95945788458306,5.322503700488791,10.045969486236572,1.5002603982853775,13.856887817382812,0.0
2009_004426,15.008106147047041,4.151058583298011,19.248855113983154,1.5002747085037544,0.1880645751953125,0.0
2007_002895,14.843002779917036,12.320716598820653,17.556452751159668,1.5006440065411983,0.0518798828125,0.0
2008_004705,15.868243026701139,11.907722068757957,14.926858246326447,1.5026482524590916,0.0019073486328125,0.0
2008_001263,13.902557325472424,7.792156570797276,18.227387964725494,1.5002346405802298,7.05718994140625,0.0
2010_004628,14.671295725447298,4.9797057247182295,11.404695361852646,1.5005981922572742,0.3345489501953125,0.0
2009_002604,15.519838009711853,,7.425300031900406,1.5032744205250541,0.0,1.0
2007_007534,13.301255255510169,5.648664771004497,14.097292721271515,1.5002861568750143,4.393768310546875,0.0
2010_002017,13.70057065758871,6.095857562599471,18.82946938276291,1.5002346405802298,3.7052154541015625,0.0
2009_004434,12.576090354562783,7.774740238466304,14.759509265422821,1.5003663003663004,12.946701049804688,0.0
2011_000594,13.792203372159044,7.194662778010676,11.51430606842041,1.5004178257037215,4.35943603515625,0.0
2009_001251,9.676736774266518,4.865359777502313,12.046784162521362,1.500294743268121,21.800613403320312,0.0
2009_004334,14.626208016035262,11.935706313251211,10.762610286474228,1.5003405390246276,4.2583465576171875,0.0
2010_005433,14.24172242902091,8.767379159662104,13.040132820606232,1.5002231929951737,4.50286865234375,0.0
2007_007130,13.438532201494455,4.038146725692581,15.897475183010101,1.5004149630921333,3.7555694580078125,0.0
2007_002445,15.04675313417243,12.37283804958232,12.853051722049713,1.500835884243391,1.2096405029296875,0.0
2011_002709,10.819104863269366,6.425474309511068,9.774766117334366,1.5005838758672274,22.595596313476562,0.0
2010_004795,14.695203734283302,11.544062244233944,10.457523912191391,1.500563833380081,1.39312744140625,0.0
2011_001855,12.355098198833259,5.375017013170335,10.469875484704971,1.5005552439066274,8.332061767578125,0.0
2008_005214,14.60897828130369,10.598230441764047,17.525173723697662,1.5007442350408757,0.0728607177734375,0.0
2011_000145,14.79946780442833,5.548785763071474,9.490427374839783,1.5007299158640772,0.0396728515625,0.0
2007_001834,14.36554950898538,,13.581199944019318,1.502521933176413,0.0,1.0
2009_000723,14.758510405622388,6.565425649379149,9.786947816610336,1.5009962972859487,0.421905517578125,0.001438407847575929
2011_000973,13.555438107173428,3.684060705831328,11.137258261442184,1.5003061919451488,1.970672607421875,0.0
